accuracy,brier,dataset,delta_star,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.805,0.35812496800616894,cora,,,0.1636917578577995,0.0,0.7943504648974169,gtrans,0.9943624138832092,1.6050207000007504,0,clean
0.793,0.3233252235962268,cora,0.020113713137308756,False,0.06834624978899954,0.0,0.7833893198224648,full_method,0.7168416380882263,4.636674300003506,0,clean
0.295,1.2402868369337432,cora,,,0.5840193067193031,0.1,0.2789615416326869,source_only,7.221230506896973,0.0,0,feature_noise
0.32,0.9736884692359186,cora,,,0.3272818095684052,0.1,0.2868158757174909,tent,2.5480639934539795,0.17496550000214484,0,feature_noise
0.309,0.9132574609005333,cora,,,0.229943183735013,0.1,0.298655298396436,eata,2.212761878967285,0.187901299999794,0,feature_noise
0.298,1.2462687752729362,cora,,,0.5870609384477138,0.1,0.27844796460970106,matcha,7.317427635192871,0.5602456999986316,0,feature_noise
0.299,1.2901120920741176,cora,,,0.6294543759226798,0.1,0.28550255259919394,gtrans,7.5116987228393555,2.2837508999946294,0,feature_noise
0.3,1.2444969030834352,cora,0.020113713137308756,False,0.5859151957333089,0.1,0.2807016830323677,full_method,7.320046901702881,6.2684846999982256,0,feature_noise
0.776,0.34526027411685123,cora,,,0.06715905010700225,0.15,0.7632671768998837,source_only,0.7674379944801331,0.0,0,edge_drop
0.786,0.3393194451650082,cora,,,0.0826874924302101,0.15,0.7771512647803658,tent,0.8084185123443604,0.7122390000004089,0,edge_drop
0.767,0.3632081657203182,cora,,,0.0777288518846035,0.15,0.7613306976877565,eata,0.8146335482597351,0.19055990000197198,0,edge_drop
0.778,0.34062452714083374,cora,,,0.059775522962212585,0.15,0.7641330517647286,matcha,0.7604791522026062,0.5421283999967272,0,edge_drop
0.795,0.3839034051814169,cora,,,0.17900355461239817,0.15,0.7835433677124689,gtrans,1.114134430885315,1.5343434999958845,0,edge_drop
0.777,0.3394735121270166,cora,0.020113713137308756,False,0.05993342134356498,0.15,0.7639237902340864,full_method,0.7585262060165405,6.011047799998778,0,edge_drop
0.763,0.3551431660661356,cora,,,0.055552990972995764,0.0,0.7595344199703966,source_only,0.78926682472229,0.0,1,clean
0.776,0.33778918705108957,cora,,,0.0830865108966827,0.0,0.7695970181006325,tent,0.8039232492446899,0.43568580000282964,1,clean
0.767,0.35813860907986933,cora,,,0.06514722220599653,0.0,0.7627521838504643,eata,0.8108011484146118,0.21142590000090422,1,clean
0.763,0.3494027653516019,cora,,,0.048076035916805274,0.0,0.7599140958522642,matcha,0.7790162563323975,0.6491467999949236,1,clean
0.776,0.40977482958101213,cora,,,0.19347390478849408,0.0,0.7673090619359277,gtrans,1.1476706266403198,2.104136499998276,1,clean
0.762,0.34785233683358946,cora,0.02256950397491455,False,0.05542694196105004,0.0,0.7578611582875597,full_method,0.7760374546051025,6.135162099999434,1,clean
0.261,1.2789846389248747,cora,,,0.6053661373555661,0.1,0.23727986002658707,source_only,7.841901779174805,0.0,1,feature_noise
0.289,0.9953894400754882,cora,,,0.34166484588384627,0.1,0.24433991069211194,tent,2.679924726486206,0.18516200000158278,1,feature_noise
0.26,0.9367630542845258,cora,,,0.2591676298379898,0.1,0.24140837356463724,eata,2.3408560752868652,0.28965790000074776,1,feature_noise
0.271,1.2760255298747638,cora,,,0.6010681391656398,0.1,0.2375038889378434,matcha,7.8977766036987305,0.8219979000059539,1,feature_noise
0.269,1.344385075724345,cora,,,0.6519766570925712,0.1,0.24517634053247153,gtrans,8.254000663757324,2.6333297999954084,1,feature_noise
0.269,1.2780428706541165,cora,0.02256950397491455,False,0.6033299600183963,0.1,0.23750972654346003,full_method,7.926888942718506,6.181089900004736,1,feature_noise
0.751,0.3757253179124923,cora,,,0.0706079937070608,0.15,0.7450035481714801,source_only,0.8363834023475647,0.0,1,edge_drop
0.76,0.3612392920310274,cora,,,0.09055051298439501,0.15,0.7530271413479063,tent,0.8576233983039856,0.1869423000025563,1,edge_drop
0.743,0.3803371097033064,cora,,,0.05338470354676249,0.15,0.7365366848598291,eata,0.8570578098297119,0.19125480000366224,1,edge_drop
0.748,0.3704828535654991,cora,,,0.06261162786185742,0.15,0.7431946382938219,matcha,0.8275186419487,0.5998763000025065,1,edge_drop
0.772,0.42509866151858855,cora,,,0.20058809548616413,0.15,0.7627473927140833,gtrans,1.263533353805542,2.6416585000042687,1,edge_drop
0.747,0.3688522789588155,cora,0.02256950397491455,False,0.07202916340529919,0.15,0.7424640683662079,full_method,0.8243534564971924,5.707584900002985,1,edge_drop
0.775,0.33784038110808884,cora,,,0.059520588561892504,0.0,0.7694728243318486,source_only,0.7626937031745911,0.0,2,clean
0.786,0.3231255336755362,cora,,,0.0797010322809219,0.0,0.7776500512544787,tent,0.7819541096687317,0.22952810000424506,2,clean
