accuracy,decile,deg_hi,deg_lo,ece,intensity,mean_reliability,method,n_decile,seed,selected_fraction,shift
0.9047619047619048,0,5.0,2.0,0.08916399308613368,0.0,1.0,source_only,21,0,1.0,clean
0.9047619047619048,0,5.0,2.0,0.08859846705482119,0.0,0.4406873537155858,full_method,21,0,0.39999999999999986,clean
0.9047619047619048,0,5.0,2.0,0.08868702536537533,0.0,0.44244208616655784,no_degree_prior,21,0,0.39999999999999986,clean
1.0,1,7.0,5.0,0.016659329334894817,0.0,1.0,source_only,18,0,1.0,clean
1.0,1,7.0,5.0,0.016415715217590332,0.0,0.4406873537155858,full_method,18,0,0.39999999999999986,clean
1.0,1,7.0,5.0,0.016403963168462116,0.0,0.44244208616655784,no_degree_prior,18,0,0.39999999999999986,clean
1.0,2,8.0,7.0,0.008518008391062419,0.0,1.0,source_only,15,0,1.0,clean
1.0,2,8.0,7.0,0.008301289876302083,0.0,0.4406873537155858,full_method,15,0,0.39999999999999986,clean
1.0,2,8.0,7.0,0.008313989639282227,0.0,0.44244208616655784,no_degree_prior,15,0,0.39999999999999986,clean
1.0,3,9.0,8.0,0.012328517436981202,0.0,1.0,source_only,20,0,1.0,clean
1.0,3,9.0,8.0,0.012239417433738709,0.0,0.4406873537155858,full_method,20,0,0.39999999999999986,clean
1.0,3,9.0,8.0,0.0122033029794693,0.0,0.44244208616655784,no_degree_prior,20,0,0.39999999999999986,clean
0.9473684210526315,4,10.0,9.0,0.039258324786236413,0.0,1.0,source_only,19,0,1.0,clean
0.9473684210526315,4,10.0,9.0,0.03938192129135132,0.0,0.4406873537155858,full_method,19,0,0.39999999999999986,clean
0.9473684210526315,4,10.0,9.0,0.039382445184808025,0.0,0.44244208616655784,no_degree_prior,19,0,0.39999999999999986,clean
1.0,5,11.0,10.0,0.004261314868927002,0.0,1.0,source_only,27,0,1.0,clean
1.0,5,11.0,10.0,0.004112899303436279,0.0,0.4406873537155858,full_method,27,0,0.39999999999999986,clean
1.0,5,11.0,10.0,0.004127085208892822,0.0,0.44244208616655784,no_degree_prior,27,0,0.39999999999999986,clean
1.0,7,12.0,11.0,0.003336489200592041,0.0,1.0,source_only,17,0,1.0,clean
