accuracy,brier,dataset,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.623,0.583501832556916,citeseer,,0.1985614604968003,0.0,0.6008659195236804,tent_full,1.5447320980287267,2.797754899947904,2,clean
0.624,0.5813044244966903,citeseer,,0.19203964582686034,0.0,0.601753763559644,eata_full,1.5309854602091926,4.967316099908203,2,clean
0.626,0.5403909382250294,citeseer,,0.072303773729003,0.0,0.5986928771429508,matcha_full,1.1661202021387722,2.904521700111218,2,clean
0.632,0.7339789733559546,citeseer,,0.36627585368161075,0.0,0.6134249406801499,gtrans_full,3.322222513390608,16.79543660010677,2,clean
0.626,0.5419669859147977,citeseer,False,0.07433990397122762,0.0,0.5989095281467901,full_method,1.1676837863789784,27.87359880004078,2,clean
0.606,0.5610724813054716,citeseer,,0.07163129423240656,0.15,0.5835792743384495,source_only,1.2027974831869517,0.0,2,edge_drop
0.613,0.6028485788045215,citeseer,,0.2004154602769992,0.15,0.5910719641790867,tent_full,1.5906113870968552,2.42213790002279,2,edge_drop
0.613,0.6006150581454716,citeseer,,0.196980273829409,0.15,0.5909296863542156,eata_full,1.5770746034560252,4.74985560006462,2,edge_drop
0.609,0.556674750959487,citeseer,,0.0744182869314752,0.15,0.5824270066642845,matcha_full,1.20277236966707,2.5302554999943823,2,edge_drop
0.625,0.7482796641002627,citeseer,,0.3734635235059067,0.15,0.6058952201734593,gtrans_full,3.410088246043239,16.067404599976726,2,edge_drop
0.608,0.5581150484064485,citeseer,False,0.07548065762715417,0.15,0.5818396824075674,full_method,1.2040590591676739,31.963868000078946,2,edge_drop
0.748,0.39324729680938536,pubmed,,0.0816401635460935,0.0,0.7429712074509665,source_only,0.715584074862345,0.0,0,clean
0.754,0.412488646836974,pubmed,,0.15063843980262895,0.0,0.7495147055903767,tent_full,1.1535308740183714,5.6419108000118285,0,clean
0.753,0.4135391105176452,pubmed,,0.1477059852256398,0.0,0.7478646257924003,eata_full,1.142540492224044,10.097414499963634,0,clean
0.749,0.39003968103629993,pubmed,,0.0761823431708375,0.0,0.7441042631108811,matcha_full,0.7127869359106718,7.7269675000570714,0,clean
0.755,0.4427169055194141,pubmed,,0.1998244005643515,0.0,0.7499807840695546,gtrans_full,1.3356756116406368,19.771850700024515,0,clean
0.749,0.39048034958574385,pubmed,False,0.07744191671498848,0.0,0.7441042631108811,full_method,0.713030403084885,30.19625439995434,0,clean
0.742,0.4049123806893366,pubmed,,0.07450244529858209,0.15,0.7380166801248912,source_only,0.7412279182511061,0.0,0,edge_drop
0.749,0.4292523588873189,pubmed,,0.1590910540770734,0.15,0.744827458462369,tent_full,1.2370632094930891,4.428403199999593,0,edge_drop
0.743,0.43090129646373226,pubmed,,0.16123631390599186,0.15,0.7382219621043457,eata_full,1.2245782469131246,7.393355999956839,0,edge_drop
0.74,0.40251366110950776,pubmed,,0.07822331828513113,0.15,0.7355099155928103,matcha_full,0.7406054787986076,6.138735600048676,0,edge_drop
0.75,0.4578151142158316,pubmed,,0.2135457859730619,0.15,0.7458260046767128,gtrans_full,1.4275024768725952,15.227980800089426,0,edge_drop
0.74,0.40284458256944156,pubmed,False,0.07391906554394322,0.15,0.7355099155928103,full_method,0.7405764664895899,30.691004400025122,0,edge_drop
0.739,0.3866249467138845,pubmed,,0.05215838659682717,0.0,0.7339803905476591,source_only,0.6924722992372248,0.0,1,clean
0.766,0.38452724422173423,pubmed,,0.15043167801212304,0.0,0.7629957361476304,tent_full,0.9531149253601432,5.440533999935724,1,clean
0.77,0.3833217196186681,pubmed,,0.14276641570381643,0.0,0.766621732345826,eata_full,0.939937075909502,8.276589900022373,1,clean
0.727,0.3942046278445038,pubmed,,0.04897108019667233,0.0,0.7228760085241115,matcha_full,0.7082523973963483,7.908557599992491,1,clean
